id,type,nodetype,deep,parent_id,level,route,ida,levela,idb,levelb,value_a,value_b,value_c,value_d,sort
511880025,1,1,0,54740025,185,1,0,0,0,0,,,,,3277
19050025,1,1,0,19040025,185,1,0,0,0,0,,,,,51
365840025,1,1,0,58490025,185,1,0,0,0,0,,,,,3558
516130025,1,1,0,337350025,185,1,0,0,0,0,,,,,34
517450025,1,1,0,19740025,185,1,0,0,0,0,,,,,4
518600025,1,1,0,90180025,185,1,0,0,0,0,,,,,6170
519380025,1,1,0,94970025,185,1,0,0,0,0,,,,,6583
519500025,1,1,0,31770025,185,1,0,0,0,0,,,,,535
520040025,1,1,0,501740025,185,1,0,0,0,0,,,,,6
520080025,1,1,0,436470025,185,1,0,0,0,0,,,,,94
520860025,1,1,0,303780025,185,1,0,0,0,0,,,,,65
521180025,1,1,0,90310025,185,1,0,0,0,0,,,,,6181
523910025,1,1,0,95550025,185,1,0,0,0,0,,,,,1728
524290025,1,1,0,27560025,185,1,0,0,0,0,,,,,647
524330025,1,1,0,158600025,185,1,0,0,0,0,,,,,159
524380025,1,1,0,436470025,185,1,0,0,0,0,,,,,98
524770025,1,1,0,436470025,185,1,0,0,0,0,,,,,100
524790025,1,1,0,89810025,185,1,0,0,0,0,,,,,6144
524800025,1,1,0,89790025,185,1,0,0,0,0,,,,,609
524850025,1,1,0,369750025,185,1,0,0,0,0,,,,,9
524870025,1,1,0,352360025,185,1,0,0,0,0,,,,,1
525040025,1,1,0,90300025,185,1,0,0,0,0,,,,,1661
525070025,1,1,0,89810025,185,1,0,0,0,0,,,,,6146
525080025,1,1,0,303780025,185,1,0,0,0,0,,,,,67
525540025,1,1,0,329040025,185,1,0,0,0,0,,,,,1
525560025,1,1,0,128450025,185,1,0,0,0,0,,,,,2
525570025,1,1,0,94420025,185,1,0,0,0,0,,,,,6546
525590025,1,1,0,90690025,185,1,0,0,0,0,,,,,6207
525610025,1,1,0,470320025,185,1,0,0,0,0,,,,,5
525660025,1,1,0,95240025,185,1,0,0,0,0,,,,,6612
525690025,1,1,0,436470025,185,1,0,0,0,0,,,,,102
525700025,1,1,0,436470025,185,1,0,0,0,0,,,,,104
526550025,1,1,0,94970025,185,1,0,0,0,0,,,,,6585
526910025,1,1,0,75300025,185,1,0,0,0,0,,,,,4950
527010025,1,1,0,44360025,185,1,0,0,0,0,,,,,301
527350025,1,1,0,94970025,185,1,0,0,0,0,,,,,6587
527360025,1,1,0,334350025,185,1,0,0,0,0,,,,,73
527700025,1,1,0,95550025,185,1,0,0,0,0,,,,,1730
527710025,1,1,0,94470025,185,1,0,0,0,0,,,,,1
527740025,1,1,0,58780025,185,1,0,0,0,0,,,,,3590
527760025,1,1,0,44740025,185,1,0,0,0,0,,,,,934
527770025,1,1,0,44740025,185,1,0,0,0,0,,,,,936
528020025,1,1,0,436470025,185,1,0,0,0,0,,,,,110
528030025,1,1,0,94520025,185,1,0,0,0,0,,,,,6547
528040025,1,1,0,454630025,185,1,0,0,0,0,,,,,16
528080025,1,1,0,454630025,185,1,0,0,0,0,,,,,18
528090025,1,1,0,90300025,185,1,0,0,0,0,,,,,1665
528210025,1,1,0,63200025,185,1,0,0,0,0,,,,,1271
529560025,1,1,0,92570025,185,1,0,0,0,0,,,,,6377
530650025,1,1,0,436470025,185,1,0,0,0,0,,,,,112
530750025,1,1,0,95550025,185,1,0,0,0,0,,,,,1732
531420025,1,1,0,95550025,185,1,0,0,0,0,,,,,1734
531720025,1,1,0,369880025,185,1,0,0,0,0,,,,,1
533170025,1,1,0,75430025,185,1,0,0,0,0,,,,,1428
533230025,1,1,0,27730025,185,1,0,0,0,0,,,,,671
533460025,1,1,0,94420025,185,1,0,0,0,0,,,,,6550
533470025,1,1,0,527770025,185,1,0,0,0,0,,,,,939
533540025,1,1,0,95550025,185,1,0,0,0,0,,,,,1738
533680025,1,1,0,94200025,185,1,0,0,0,0,,,,,1729
534120025,1,1,0,93920025,185,1,0,0,0,0,,,,,6494
534130025,1,1,0,94200025,185,1,0,0,0,0,,,,,1705
534140025,1,1,0,95000025,185,1,0,0,0,0,,,,,1
534150025,1,1,0,80760025,185,1,0,0,0,0,,,,,1513
534160025,1,1,0,436470025,185,1,0,0,0,0,,,,,114
534320025,1,1,0,342740025,185,1,0,0,0,0,,,,,2
67880105,0,0,1,,1502,1,365840025,185,404860025,920,0.82,,,,4
67890105,0,0,1,,1502,1,365840025,185,404850025,920,0.82,,,,5
67900105,0,0,1,67890105,1502,1,365840025,185,6170025,920,0.5,,,,4
67870105,0,0,1,131630105,1502,1,365840025,185,143870025,1102,0.82,,,,6
67960105,0,0,1,,1502,1,365840025,185,137250025,1102,0.5,,,,15
67970105,0,0,1,,1502,1,365840025,185,191080025,920,0.5,,,,16
67980105,0,0,1,,1502,1,365840025,185,1430025,920,0.5,,,,17
67920105,0,0,1,,1502,1,365840025,185,140960025,1102,0.5,,,,12
67930105,0,0,1,,1502,1,365840025,185,123610025,920,0.17,,,,13
67940105,0,0,1,,1502,1,365840025,185,137400025,920,0.17,,,,14
67950105,0,0,1,,1502,1,365840025,185,410110025,1102,0.5,,,,6
99740105,0,0,1,,1502,1,365840025,185,428380025,1102,0.17,,,0.25,18
131700105,0,0,1,,1502,1,365840025,185,366000025,920,0.17,,,,19
131580105,0,0,1,,1502,1,365840025,185,5120025,920,0.82,,,,9
131650105,0,0,1,,1502,1,365840025,185,400580025,1102,0.5,,,,3
131660105,0,0,1,,1502,1,365840025,185,438340025,920,0.5,,,,10
131670105,0,0,1,67950105,1502,1,365840025,185,4140025,1102,0.5,,,,7
131610105,0,0,1,,1502,1,365840025,185,424870025,920,0.5,,,,1
131620105,0,0,1,131610105,1502,1,365840025,185,386530025,1102,0.5,,,,2
131630105,0,0,1,,1502,1,365840025,185,438330025,1102,0.5,,,,8
132070105,0,0,1,,1502,1,365840025,185,438560025,920,0.5,,,,11
130760105,0,0,2,,1502,1,366000025,920,410110025,1102,0.5,,,,5
130770105,0,0,2,,1502,1,366000025,920,137400025,920,0.5,,,,6
130780105,0,0,2,,1502,1,366000025,920,270025,1102,0.5,,,,7
130790105,0,0,2,,1502,1,366000025,920,1390025,920,0.5,,,,8
130720105,0,0,2,,1502,1,366000025,920,410410025,1102,0.5,,,,1
130730105,0,0,2,,1502,1,366000025,920,140960025,1102,0.5,,,,2
130740105,0,0,2,,1502,1,366000025,920,140340025,1102,0.5,,,,3
130750105,0,0,2,,1502,1,366000025,920,404850025,920,0.5,,,,4
130800105,0,0,2,,1502,1,366000025,920,1430025,920,0.5,,,,9
130810105,0,0,2,,1502,1,366000025,920,13990025,920,0.5,,,,10
87710105,0,0,2,,1502,1,424870025,920,380430025,920,0.5,,,,5
92120105,0,0,2,92130105,1502,1,424870025,920,55590025,920,0.5,,,,5
129080105,0,0,2,129060105,1502,1,424870025,920,45800025,920,0.5,,,,13
132160105,0,0,2,,1502,1,438560025,920,140340025,1102,0.5,,,,8
132120105,0,0,2,,1502,1,438560025,920,140960025,1102,0.5,,,,4
132130105,0,0,2,,1502,1,438560025,920,4930025,920,0.5,,,,5
132140105,0,0,2,,1502,1,438560025,920,410110025,1102,0.5,,,,6
132150105,0,0,2,,1502,1,438560025,920,458020025,920,0.5,,,,7
132090105,0,0,2,,1502,1,438560025,920,410410025,1102,0.5,,,,1
132100105,0,0,2,,1502,1,438560025,920,4260025,920,0.5,,,,2
132110105,0,0,2,,1502,1,438560025,920,51980025,1102,0.5,,,,3
90640105,0,0,3,,1502,1,270025,1102,425540025,930,0.17,,,0.75,1
94750105,0,0,3,,1502,1,270025,1102,427140025,1102,0.17,,,0.75,2
92680105,0,0,3,92650105,1502,1,55590025,920,12610025,920,0.5,,,,17
92690105,0,0,3,92610105,1502,1,55590025,920,307940025,920,0.5,,,,12
92700105,0,0,3,92610105,1502,1,55590025,920,426440025,920,0.5,,,,9
92710105,0,0,3,92610105,1502,1,55590025,920,14140025,1102,0.5,,,,13
92640105,0,0,3,,1502,1,55590025,920,416150025,1102,0.5,,,,5
92650105,0,0,3,92640105,1502,1,55590025,920,1230077,13,,,,,14
92660105,0,0,3,92650105,1502,1,55590025,920,12590025,920,0.5,,,,15
92670105,0,0,3,92650105,1502,1,55590025,920,12600025,920,0.5,,,,16
92760105,0,0,3,,1502,1,55590025,920,4340025,920,0.82,,,,22
92770105,0,0,3,92820105,1502,1,55590025,920,143190025,1102,0.5,,,,23
92780105,0,0,3,92820105,1502,1,55590025,920,4350025,1102,0.5,,,,24
92790105,0,0,3,92820105,1502,1,55590025,920,4440025,1102,0.5,,,,25
92720105,0,0,3,,1502,1,55590025,920,270025,1102,0.5,,,,6
92730105,0,0,3,,1502,1,55590025,920,18090025,920,0.5,,,,18
92740105,0,0,3,,1502,1,55590025,920,2050025,920,0.5,,,,20
92750105,0,0,3,,1502,1,55590025,920,426450025,930,0.82,,,,21
92600105,0,0,3,,1502,1,55590025,920,1220077,13,,,,,3
92610105,0,0,3,,1502,1,55590025,920,1220077,13,,,,,4
92620105,0,0,3,92610105,1502,1,55590025,920,140960025,1102,0.5,,,,8
92630105,0,0,3,92610105,1502,1,55590025,920,316850025,920,0.5,,,,10
92580105,0,0,3,92600105,1502,1,55590025,920,400770025,184,0.82,,,,4
92590105,0,0,3,92600105,1502,1,55590025,920,421240025,920,0.82,,,,5
93320105,0,0,3,,1502,1,55590025,920,1220077,13,,,,,75
93330105,0,0,3,93320105,1502,1,55590025,920,1220077,13,,,,,76
93340105,0,0,3,93330105,1502,1,55590025,920,4270025,920,0.5,,,,77
93350105,0,0,3,93330105,1502,1,55590025,920,423820025,920,0.5,,,,78
93290105,0,0,3,93210105,1502,1,55590025,920,426610025,920,0.5,,,,71
93300105,0,0,3,93210105,1502,1,55590025,920,426620025,920,0.5,,,,73
93310105,0,0,3,93210105,1502,1,55590025,920,180770025,920,0.5,,,,74
93400105,0,0,3,93320105,1502,1,55590025,920,1220077,13,,,,,77
93410105,0,0,3,93400105,1502,1,55590025,920,148690025,1102,0.5,,,,84
93420105,0,0,3,93400105,1502,1,55590025,920,188220025,920,0.5,,,,85
93430105,0,0,3,93400105,1502,1,55590025,920,188230025,920,0.5,,,,86
93360105,0,0,3,93330105,1502,1,55590025,920,193210025,920,0.5,,,,79
93370105,0,0,3,93330105,1502,1,55590025,920,193700025,920,0.5,,,,80
93380105,0,0,3,93330105,1502,1,55590025,920,424390025,1102,0.5,,,,81
93390105,0,0,3,93330105,1502,1,55590025,920,424380025,1102,0.5,,,,82
93160105,0,0,3,93140105,1502,1,55590025,920,12610025,920,0.5,,,,61
93170105,0,0,3,93110105,1502,1,55590025,920,416230025,920,0.5,,,,63
93180105,0,0,3,93110105,1502,1,55590025,920,426580025,920,0.5,,,,62
93190105,0,0,3,93110105,1502,1,55590025,920,47800025,920,0.5,,,,64
93120105,0,0,3,93110105,1502,1,55590025,920,4340025,920,0.5,,,,58
93130105,0,0,3,93110105,1502,1,55590025,920,177320025,1102,0.5,,,,59
93140105,0,0,3,93110105,1502,1,55590025,920,12580025,1102,0.5,,,,61
93150105,0,0,3,93140105,1502,1,55590025,920,12600025,920,0.5,,,,62
93240105,0,0,3,93260105,1502,1,55590025,920,424140025,1102,0.5,,,,72
93250105,0,0,3,93260105,1502,1,55590025,920,424150025,1102,0.5,,,,73
